"","phylum","TFZ002_8073","TFZ002_8070","TFZ002_8004","TFZ002_8003","TFZ002_8001","TFZ002_8000","Stahl_21","Stahl_20","Stahl_19","Stahl_18","Stahl_17","Stahl_16","Stahl_15","Stahl_14","Stahl_13","Stahl_12","Stahl_11","Stahl_10","Stahl_09","Stahl_08","Stahl_07","Stahl_06","Stahl_05","Stahl_04","Stahl_03","Stahl_02","Stahl_01","RS0001_1223","RS0001_1222","RS0001_1221","RS0001_1218","RS0001_1206","RS0001_1197","RS0001_1196","RS0001_1181","RS0001_1180","RS0001_1173","RS0001_1171","HG0155_0057","HG0155_0056","HG0155_0055","HG0155_0049","HG0155_0048","HG0155_0047","HG0001_9881","HG0001_9880","HG0001_9879","HG0001_9878","HG0001_9877","HG0001_9876","Geiger_10","Geiger_09","Geiger_08","Geiger_07","Geiger_06","Geiger_05","Geiger_02","Geiger_01"
"Candidatus.Peregrinibacteria","Candidatus.Peregrinibacteria",338,164,131,227,232,112,232,108,125,79,128,190,354,139,247,188,382,32,114,84,64,132,173,79,78,75,NA,142,100,166,190,108,199,159,133,79,230,150,176,250,184,94,110,115,88,77,136,110,133,97,104,36,40,59,45,81,NA,31
"Candidatus.Poribacteria","Candidatus.Poribacteria",115,54,68,75,60,30,42,47,83,32,34,113,243,176,72,173,167,50,113,57,145,151,167,69,141,27,NA,49,58,53,24,91,131,68,75,26,214,66,24,45,43,NA,NA,46,36,27,33,28,25,38,30,35,NA,NA,33,32,NA,26
"Candidatus.Portnoybacteria","Candidatus.Portnoybacteria",41,NA,NA,120,49,NA,46,24,NA,39,32,32,84,36,35,33,59,NA,50,NA,41,37,41,NA,30,NA,NA,30,26,65,72,25,51,52,36,34,51,31,38,46,37,NA,NA,24,29,29,NA,NA,27,NA,47,NA,NA,30,NA,NA,NA,NA
"Candidatus.Raymondbacteria","Candidatus.Raymondbacteria",189,164,26,104,58,86,34,58,34,77,44,64,46,93,91,47,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,293,103,45,173,102,99,30,240,83,71,NA,25,NA,NA,NA,26,92,101,100,61,106,71,NA,NA,NA,NA,NA,NA,NA,NA
"Candidatus.Riflebacteria","Candidatus.Riflebacteria",147,98,59,42,81,31,45,31,36,28,NA,60,105,54,55,55,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,57,59,91,29,75,27,25,31,75,78,44,78,65,26,25,43,26,25,NA,30,33,49,NA,NA,NA,NA,NA,NA,NA,NA
"Candidatus.Roizmanbacteria","Candidatus.Roizmanbacteria",183,117,145,108,119,65,159,75,73,51,67,105,211,74,119,105,234,NA,341,149,131,105,79,220,166,33,34,95,109,90,117,95,142,152,130,78,101,94,100,227,226,65,101,197,48,77,81,51,70,49,35,NA,NA,30,NA,NA,NA,31
"Candidatus.Rokubacteria","Candidatus.Rokubacteria",1271,687,829,482,856,674,983,1186,890,887,849,1245,1602,1383,959,1347,364,49,102,164,232,165,233,94,228,122,NA,580,1174,696,695,494,762,461,693,640,985,658,2150,1001,1030,1256,1298,1001,302,388,401,403,431,366,418,276,148,182,196,231,100,288
"Candidatus.Ryanbacteria","Candidatus.Ryanbacteria",62,NA,NA,NA,28,45,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,52,NA,NA,NA,51,NA,33,NA,34,NA,NA,NA,NA,27,NA,NA,24,25,32,NA,27,NA,NA,29,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Candidatus.Saccharibacteria","Candidatus.Saccharibacteria",470,433,293,118,473,239,2933,1864,874,847,428,3835,5670,2155,2547,2194,182,41,107,79,79,108,111,177,79,30,NA,277,203,346,334,164,687,514,114,97,381,227,148,174,173,81,112,126,82,90,93,81,79,92,98,40,25,58,31,45,31,80
"Candidatus.Schekmanbacteria","Candidatus.Schekmanbacteria",80,65,63,42,69,28,83,26,32,27,41,80,82,30,40,38,89,NA,76,52,71,64,47,35,61,NA,NA,40,39,29,67,54,77,57,29,24,66,76,NA,66,32,NA,NA,45,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Candidatus.Shapirobacteria","Candidatus.Shapirobacteria",59,NA,24,36,35,NA,38,NA,NA,NA,NA,50,66,NA,45,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,26,NA,24,25,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
